,movieId,title,genres,imdbId,tmdbId,adult,origin_country,original_title,popularity,production_companies,production_countries,release_date,spoken_languages,tagline,vote_average,vote_count,cast
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,False,US,Toy Story,30.5618,Pixar,United States of America,1995-11-22,English,Hang on for the comedy that goes to infinity and beyond!,7.968,18795,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney"
1,2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,False,US,Jumanji,4.7559,"TriStar Pictures, Interscope Communications, Teitler Film, PolyGram Filmed Entertainment",United States of America,1995-12-15,"English, Français",Roll the dice and unleash the excitement!,7.236,10740,"Robin Williams, Kirsten Dunst, Bradley Pierce, Bonnie Hunt"
2,3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,False,US,Grumpier Old Men,1.1072,"Lancaster Gate, Warner Bros. Pictures",United States of America,1995-12-22,English,Still Yelling. Still Fighting. Still Ready for Love.,6.465,396,"Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren"
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,False,US,Waiting to Exhale,4.0147,20th Century Fox,United States of America,1995-12-22,English,Friends are the people who let you be yourself... and never let you forget it.,6.263,173,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon"
4,5,Father of the Bride Part II (1995),Comedy,113041,11862.0,False,US,Father of the Bride Part II,1.9212,"Touchstone Pictures, Sandollar Productions",United States of America,1995-12-08,English,Just when his world is back to normal... he's in for the surprise of his life!,6.237,752,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley"
5,6,Heat (1995),Action|Crime|Thriller,113277,949.0,False,US,Heat,19.9584,"Warner Bros. Pictures, Regency Enterprises, Forward Pass",United States of America,1995-12-15,"English, Español",A Los Angeles crime saga.,7.92,7586,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
6,7,Sabrina (1995),Comedy|Romance,114319,11860.0,False,US,Sabrina,3.1061,"Paramount Pictures, Constellation Films, Mirage Enterprises, Scott Rudin Productions, Sandollar Productions, Worldwide Productions, Mont Blanc Entertainment GmbH","Germany, United States of America",1995-12-15,"Français, English",You are cordially invited to the most surprising merger of the year.,6.2,643,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand"
7,8,Tom and Huck (1995),Adventure|Children,112302,45325.0,False,US,Tom and Huck,3.1124,"Walt Disney Pictures, Painted Fence Productions",United States of America,1995-12-22,English,A lot of kids get into trouble. These two invented it.,5.271,192,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket"
8,9,Sudden Death (1995),Action,114576,9091.0,False,US,Sudden Death,5.6244,"Shattered Productions, Universal Pictures, Imperial Entertainment, Signature Entertainment",United States of America,1995-10-27,English,Terror goes into overtime.,5.997,742,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright"
9,10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,False,GB,GoldenEye,9.7258,"EON Productions, United Artists","United Kingdom, United States of America",1995-11-16,"English, Pусский, Español",No limits. No fears. No substitutes.,6.889,3998,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen"
10,11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,False,US,The American President,6.1193,"Castle Rock Entertainment, Universal Pictures, Wildwood Enterprises",United States of America,1995-11-17,"English, Français",Why can't the most powerful man in the world have the one thing he wants most?,6.5,736,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox"
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,False,US,Dracula: Dead and Loving It,1.7535,"Castle Rock Entertainment, Columbia Pictures, Brooksfilms, Enigma Pictures","France, United States of America",1995-12-22,English,You'll laugh until you die...then you'll rise from the dead and laugh again!,6.077,1001,"Leslie Nielsen, Mel Brooks, Amy Yasbeck, Peter MacNicol"
